[child1:4740] [0] ioctl(fd=259, cmd=0x40080925, arg=0x24010000) = -1 (Bad address)
[child1:4740] [19] ioctl(fd=259, cmd=0xc0100920, arg=0xb655e000) = -1 (Invalid argument)
[child1:4740] [20] ioctl(fd=259, cmd=0x400c0907, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [21] ioctl(fd=259, cmd=0x400c0932, arg=0xb35df19f) = -1 (Bad address)
[child1:4740] [22] ioctl(fd=259, cmd=0x400c0932, arg=0xb6c5e000) = -1 (Invalid argument)
[child1:4740] [23] ioctl(fd=259, cmd=0xc0140938, arg=0xb5d5e000) = 0
[child1:4740] [24] ioctl(fd=259, cmd=0xc0080935, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [25] ioctl(fd=259, cmd=0xc01c0915, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [26] ioctl(fd=259, cmd=0x40140931, arg=0xb455e000) = -1 (Invalid argument)
[child1:4740] [27] ioctl(fd=259, cmd=0x40140937, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [28] ioctl(fd=259, cmd=0x400c0907, arg=0xed15616b) = -1 (Bad address)
[child1:4740] [29] ioctl(fd=259, cmd=0xc0100920, arg=0xb6e62000) = -1 (Invalid argument)
[child1:4740] [30] ioctl(fd=259, cmd=0x40100930, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [31] ioctl(fd=259, cmd=0x40100939, arg=0xb6e62000) = 0
[child1:4740] [32] ioctl(fd=259, cmd=0xc0140910, arg=0xb595e000) = -1 (Invalid argument)
[child1:4740] [33] ioctl(fd=259, cmd=0xc00c0916, arg=0xb675e000) = -1 (Invalid argument)
[child1:4740] [34] ioctl(fd=259, cmd=0xc00c0916, arg=0xea3513d9) = -1 (Bad address)
[child1:4740] [35] ioctl(fd=259, cmd=0xc0140938, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [36] ioctl(fd=259, cmd=0xc00c0916, arg=0xb675e000) = -1 (Invalid argument)
[child1:4740] [37] ioctl(fd=259, cmd=0x40080925, arg=0xf6767676) = -1 (Bad address)
[child1:4740] [38] ioctl(fd=259, cmd=0x40080906, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [39] ioctl(fd=259, cmd=0xc0140933, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [40] ioctl(fd=259, cmd=0xc00c092f, arg=0xb6e5e000) = -1 (Invalid argument)
[child1:4740] [41] ioctl(fd=259, cmd=0xc0140938, arg=0x37) = -1 (Bad address)
[child1:4740] [42] ioctl(fd=259, cmd=0xc0080935, arg=0xb695e000) = -1 (Invalid argument)
[child1:4740] [43] ioctl(fd=259, cmd=0xc00c0902, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [44] ioctl(fd=259, cmd=0x40140937, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [45] ioctl(fd=259, cmd=0xc0140933, arg=0xb6c5e000) = -1 (Invalid argument)
[child1:4740] [46] ioctl(fd=259, cmd=0xc00c0902, arg=0xffff0010) = -1 (Bad address)
[child1:4740] [47] ioctl(fd=259, cmd=0x40140937, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [48] ioctl(fd=259, cmd=0x40100930, arg=0x91848804) = -1 (Bad address)
[child1:4740] [49] ioctl(fd=259, cmd=0xc0080935, arg=0xb28f369b) = -1 (Bad address)
[child1:4740] [50] ioctl(fd=259, cmd=0x40100917, arg=0xb3b5e000) = -1 (Invalid argument)
[child1:4740] [51] ioctl(fd=259, cmd=0xc0140910, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [52] ioctl(fd=259, cmd=0xc00c0916, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [53] ioctl(fd=259, cmd=0x40080906, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [54] ioctl(fd=259, cmd=0xc0140910, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [55] ioctl(fd=259, cmd=0xc0100920, arg=0xa0000000) = -1 (Bad address)
[child1:4740] [56] ioctl(fd=259, cmd=0xc018093a, arg=0xb6d5e000) = 0
[child1:4740] [57] ioctl(fd=259, cmd=0x40040924, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [58] ioctl(fd=259, cmd=0x403c0922, arg=0xb455e000) = -1 (Not a typewriter)
[child1:4740] [59] ioctl(fd=259, cmd=0x40080906, arg=0xdffffffb) = -1 (Bad address)
[child1:4740] [60] ioctl(fd=259, cmd=0x40040924, arg=0xb6d5e000) = -1 (Invalid argument)
[child1:4740] [61] ioctl(fd=259, cmd=0x40140931, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [62] ioctl(fd=259, cmd=0xc0080935, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [63] ioctl(fd=259, cmd=0xc018093a, arg=0xff8bd8e9) = -1 (Bad address)
[child1:4740] [64] ioctl(fd=259, cmd=0xc00c092f, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [65] ioctl(fd=259, cmd=0xc0100920, arg=0xb695e000) = -1 (Invalid argument)
[child1:4740] [66] ioctl(fd=259, cmd=0x80080911, arg=0xffffff00) = -1 (Bad address)
[child1:4740] [67] ioctl(fd=259, cmd=0x80080911, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [68] ioctl(fd=259, cmd=0xc00c0916, arg=0xb6d5e000) = -1 (Invalid argument)
[child1:4740] [69] ioctl(fd=259, cmd=0xc010093b, arg=0x91fff9f9) = -1 (Bad address)
[child1:4740] [70] ioctl(fd=259, cmd=0xc00c0923, arg=0xffffffff) = -1 (Bad address)
[child1:4740] [71] ioctl(fd=259, cmd=0xc0080913, arg=0xffffffff) = -1 (Bad address)
[child1:4740] [72] ioctl(fd=259, cmd=0xc0140910, arg=0xf8d8cdf6) = -1 (Bad address)
[child1:4740] [73] ioctl(fd=259, cmd=0xc0280936, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [74] ioctl(fd=259, cmd=0xc0140938, arg=0xb5d5e000) = 0
[child1:4740] [75] ioctl(fd=259, cmd=0x400c0912, arg=0x10) = -1 (Bad address)
[child1:4740] [76] ioctl(fd=259, cmd=0x40100930, arg=0xb455e000) = -1 (Invalid argument)
[child1:4740] [77] ioctl(fd=259, cmd=0x400c092e, arg=0xb6b5e000) = -1 (Not a typewriter)
[child1:4740] [78] ioctl(fd=259, cmd=0xc00c0902, arg=0x514385) = -1 (Bad address)
[child1:4740] [79] ioctl(fd=259, cmd=0x40100917, arg=0xb6b5e000) = -1 (Invalid argument)
[child1:4740] [80] ioctl(fd=259, cmd=0x400c092e, arg=0xffffff48) = -1 (Bad address)
[child1:4740] [81] ioctl(fd=259, cmd=0xc0280936, arg=0x9e313350) = -1 (Bad address)
[child1:4740] [82] ioctl(fd=259, cmd=0x400c0912, arg=0x61862000) = -1 (Bad address)
[child1:4740] [83] ioctl(fd=259, cmd=0xc00c0916, arg=0xb455e000) = -1 (Invalid argument)
[child1:4740] [84] ioctl(fd=259, cmd=0xc00c0916, arg=0xffffffff) = -1 (Bad address)
[child1:4740] [85] ioctl(fd=259, cmd=0x40040914, arg=0xffffffff) = -1 (Bad address)
[child1:4740] [86] ioctl(fd=259, cmd=0x40140937, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [87] ioctl(fd=259, cmd=0xc00c092f, arg=0xab51bfff) = -1 (Bad address)
[child1:4740] [88] ioctl(fd=259, cmd=0x40100930, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [89] ioctl(fd=259, cmd=0xc00c0923, arg=0xff00001d) = -1 (Bad address)
[child1:4740] [90] ioctl(fd=259, cmd=0x40100930, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [91] ioctl(fd=259, cmd=0x800c0912, arg=0xb655e000) = -1 (Invalid argument)
[child1:4740] [92] ioctl(fd=259, cmd=0, arg=0xc0008000) = -1 (Not a typewriter)
[child1:4740] [93] ioctl(fd=259, cmd=0x400c0907, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [94] ioctl(fd=259, cmd=0x40100930, arg=0xb6e5e000) = -1 (Invalid argument)
[child1:4740] [95] ioctl(fd=259, cmd=0xc0140910, arg=0xfdfaa7cf) = -1 (Bad address)
[child1:4740] [96] ioctl(fd=259, cmd=0x40100930, arg=0xb6d5e000) = -1 (Invalid argument)
[child1:4740] [97] ioctl(fd=259, cmd=0x40040921, arg=0xa7272727) = -1 (Bad address)
[child1:4740] [98] ioctl(fd=259, cmd=0xc00c0916, arg=0xffffff34) = -1 (Bad address)
[child1:4740] [99] ioctl(fd=259, cmd=0xc0080935, arg=0xc8000077) = -1 (Bad address)
[child1:4740] [100] ioctl(fd=259, cmd=0x40100917, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [101] ioctl(fd=259, cmd=0xc01c0934, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [102] ioctl(fd=259, cmd=0xc0280936, arg=0x85000fff) = -1 (Bad address)
[child1:4740] [103] ioctl(fd=259, cmd=0xc0280936, arg=0xb3b5e000) = -1 (Invalid argument)
[child1:4740] [104] ioctl(fd=259, cmd=0x40040924, arg=0xb6e60000) = -1 (Invalid argument)
[child1:4740] [105] ioctl(fd=259, cmd=0x800c0912, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [106] ioctl(fd=259, cmd=0xc0280936, arg=0xb67e7696) = -1 (Invalid argument)
[child1:4740] [107] ioctl(fd=259, cmd=0x80080911, arg=0xb6e62000) = 0
[child1:4740] [108] ioctl(fd=259, cmd=0x40140931, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [109] ioctl(fd=259, cmd=0xc00c0923, arg=0xb695e000) = -1 (Not a typewriter)
[child1:4740] [110] ioctl(fd=259, cmd=0x400c0932, arg=0xb5d5e000) = -1 (Invalid argument)
[child1:4740] [111] ioctl(fd=259, cmd=0xc00c0923, arg=0xb6c5e000) = -1 (Not a typewriter)
[child1:4740] [112] ioctl(fd=259, cmd=0x40100917, arg=0x0) = -1 (Bad address)
[child1:4740] [113] ioctl(fd=259, cmd=0x40100939, arg=0xb695e000) = 0
[child1:4740] [114] ioctl(fd=259, cmd=0x4c00, arg=0xb6e5e000) = -1 (Not a typewriter)
[child1:4740] [115] ioctl(fd=259, cmd=0xc0080935, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [116] ioctl(fd=259, cmd=0x800c0912, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [117] ioctl(fd=259, cmd=0xc0280936, arg=0xffff0000) = -1 (Bad address)
[child1:4740] [118] ioctl(fd=259, cmd=0xc0080913, arg=0xb6e60000) = 0
[child1:4740] [119] ioctl(fd=259, cmd=0x80080911, arg=0xb6e5e000) = 0
[child1:4740] [120] ioctl(fd=259, cmd=0x80080911, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [121] ioctl(fd=259, cmd=0x40080925, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [122] ioctl(fd=259, cmd=0x80080911, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [123] ioctl(fd=259, cmd=0x800c0912, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [124] ioctl(fd=259, cmd=0xc010093b, arg=0xffff33ec) = -1 (Bad address)
[child1:4740] [125] ioctl(fd=259, cmd=0x40140937, arg=0xffff9cff) = -1 (Bad address)
[child1:4740] [126] ioctl(fd=259, cmd=0x80080911, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [127] ioctl(fd=259, cmd=0x40040914, arg=0xb6c5e000) = -1 (Invalid argument)
[child1:4740] [128] ioctl(fd=259, cmd=0xc00c092f, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [129] ioctl(fd=259, cmd=0x40200931, arg=0xb3b5e000) = 0
[child1:4740] [130] ioctl(fd=259, cmd=0x400c0907, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [131] ioctl(fd=259, cmd=0x40140931, arg=0x88000000) = -1 (Bad address)
[child1:4740] [132] ioctl(fd=259, cmd=1967, arg=0xc0008000) = -1 (Not a typewriter)
[child1:4740] [133] ioctl(fd=259, cmd=0x40040914, arg=0xb455e000) = -1 (Invalid argument)
[child1:4740] [134] ioctl(fd=259, cmd=0xc0140938, arg=0xffffefff) = -1 (Bad address)
[child1:4740] [135] ioctl(fd=259, cmd=0xc018093a, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [136] ioctl(fd=259, cmd=0xc01c0934, arg=0xffff0000) = -1 (Bad address)
[child1:4740] [137] ioctl(fd=259, cmd=0xc0280936, arg=0xffffff80) = -1 (Bad address)
[child1:4740] [138] ioctl(fd=259, cmd=0xc010093b, arg=0xff4f15bc) = -1 (Bad address)
[child1:4740] [139] ioctl(fd=259, cmd=0xc01c0915, arg=0xce488000) = -1 (Bad address)
[child1:4740] [140] ioctl(fd=259, cmd=0x40080925, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [141] ioctl(fd=259, cmd=0x40100930, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [142] ioctl(fd=259, cmd=0xc00c0916, arg=0xb655e000) = -1 (Invalid argument)
[child1:4740] [143] ioctl(fd=259, cmd=0xc0140938, arg=0xc031889b) = -1 (Bad address)
[child1:4740] [144] ioctl(fd=259, cmd=0xc00c0923, arg=0xb675e000) = -1 (Not a typewriter)
[child1:4740] [145] ioctl(fd=259, cmd=0xc00c0923, arg=0xb6e5e000) = -1 (Not a typewriter)
[child1:4740] [146] ioctl(fd=259, cmd=0xc00c0916, arg=0xcf290000) = -1 (Bad address)
[child1:4740] [147] ioctl(fd=259, cmd=0x40100917, arg=0xffff4272) = -1 (Bad address)
[child1:4740] [148] ioctl(fd=259, cmd=0xc01c0915, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [149] ioctl(fd=259, cmd=0x40140931, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [150] ioctl(fd=259, cmd=0xc0140938, arg=0x400) = -1 (Bad address)
[child1:4740] [151] ioctl(fd=259, cmd=0xc00c0902, arg=0xd83bf000) = -1 (Bad address)
[child1:4740] [152] ioctl(fd=259, cmd=0xc00c0923, arg=0xff9f8298) = -1 (Bad address)
[child1:4740] [153] ioctl(fd=259, cmd=0xc01c0915, arg=0xff4fafa7) = -1 (Bad address)
[child1:4740] [154] ioctl(fd=259, cmd=0xc00c0902, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [155] ioctl(fd=259, cmd=0xc0080913, arg=0xe763f4fc) = -1 (Bad address)
[child1:4740] [156] ioctl(fd=259, cmd=0xc0080913, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [157] ioctl(fd=259, cmd=0xc018093a, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [158] ioctl(fd=259, cmd=0x40200931, arg=0xbeea7975) = 0
[child1:4740] [159] ioctl(fd=259, cmd=0xc01c0934, arg=0xb3b5e000) = -1 (Invalid argument)
[child1:4740] [160] ioctl(fd=259, cmd=0x403c0922, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [161] ioctl(fd=259, cmd=0x400c092e, arg=0x10c00909) = -1 (Bad address)
[child1:4740] [162] ioctl(fd=259, cmd=0x40080906, arg=0xb6d5e000) = 0
[child1:4740] [163] ioctl(fd=259, cmd=0xc0140938, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [164] ioctl(fd=259, cmd=0xc010093b, arg=0xee57ff12) = -1 (Bad address)
[child1:4740] [165] ioctl(fd=259, cmd=0x40100930, arg=0xb6d5e000) = -1 (Invalid argument)
[child1:4740] [166] ioctl(fd=259, cmd=0xc00c0923, arg=0xffffff90) = -1 (Bad address)
[child1:4740] [167] ioctl(fd=259, cmd=0x400c0907, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [168] ioctl(fd=259, cmd=0xc0140938, arg=0xc0000076) = -1 (Bad address)
[child1:4740] [169] ioctl(fd=259, cmd=0x400c0912, arg=0xb4f5e000) = -1 (Invalid argument)
[child1:4740] [170] ioctl(fd=259, cmd=0x80080911, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [171] ioctl(fd=259, cmd=0xc0140910, arg=0xb5d5e000) = -1 (Invalid argument)
[child1:4740] [172] ioctl(fd=259, cmd=0xc01c0934, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [173] ioctl(fd=259, cmd=0xc0280936, arg=0xb6c5e000) = -1 (Invalid argument)
[child1:4740] [174] ioctl(fd=259, cmd=0xc0080913, arg=0xb6b5e000) = 0
[child1:4740] [175] ioctl(fd=259, cmd=0x800c0912, arg=0x9f5f000) = -1 (Bad address)
[child1:4740] [176] ioctl(fd=259, cmd=0xc0100920, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [177] ioctl(fd=259, cmd=0x40100917, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [178] ioctl(fd=259, cmd=0x800c0912, arg=0xb3b5e000) = -1 (Invalid argument)
[child1:4740] [179] ioctl(fd=259, cmd=0x40040914, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [180] ioctl(fd=259, cmd=0x40140937, arg=0xb695e000) = -1 (Invalid argument)
[child1:4740] [181] ioctl(fd=259, cmd=0x800c0912, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [182] ioctl(fd=259, cmd=0x400c0907, arg=0xb6e62000) = -1 (Invalid argument)
[child1:4740] [183] ioctl(fd=259, cmd=0xc0080935, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [184] ioctl(fd=259, cmd=0xc0280936, arg=0xb5d5e000) = -1 (Invalid argument)
[child1:4740] [185] ioctl(fd=259, cmd=0xc0140933, arg=0xb6e5e000) = -1 (Invalid argument)
[child1:4740] [186] ioctl(fd=259, cmd=0x40140931, arg=0x86ff6161) = -1 (Bad address)
[child1:4740] [187] ioctl(fd=259, cmd=0x44080925, arg=0xa9c9bfff) = -1 (Bad address)
[child1:4740] [188] ioctl(fd=259, cmd=0xc00c0923, arg=0xb455e000) = -1 (Not a typewriter)
[child1:4740] [189] ioctl(fd=259, cmd=0x40040924, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [190] ioctl(fd=259, cmd=0xc00c0923, arg=0x1f250000) = -1 (Bad address)
[child1:4740] [191] ioctl(fd=259, cmd=0x400c0907, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [192] ioctl(fd=259, cmd=0xc0140910, arg=0xb695e000) = -1 (Invalid argument)
[child1:4740] [193] ioctl(fd=259, cmd=0xc00c0916, arg=0xb6e5e000) = -1 (Invalid argument)
[child1:4740] [194] ioctl(fd=259, cmd=0x40200931, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [195] ioctl(fd=259, cmd=0x400c0912, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [196] ioctl(fd=259, cmd=0x40100917, arg=0x84fd1929) = -1 (Bad address)
[child1:4740] [197] ioctl(fd=259, cmd=0x403c0922, arg=0xb4005b4b) = -1 (Not a typewriter)
[child1:4740] [198] ioctl(fd=259, cmd=0x40140937, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [199] ioctl(fd=259, cmd=0x40100930, arg=0xb655e000) = -1 (Invalid argument)
[child1:4740] [200] ioctl(fd=259, cmd=0xc00c0916, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [201] ioctl(fd=259, cmd=0xc00c0902, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [202] ioctl(fd=259, cmd=0xc00c092f, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [203] ioctl(fd=259, cmd=0xc00c092f, arg=0xb675e000) = -1 (Invalid argument)
[child1:4740] [204] ioctl(fd=259, cmd=0x403c0922, arg=0xb455e000) = -1 (Not a typewriter)
[child1:4740] [205] ioctl(fd=259, cmd=0xc00c092f, arg=0x20003dad) = -1 (Bad address)
[child1:4740] [206] ioctl(fd=259, cmd=0xc0100920, arg=0x3d33748a) = -1 (Bad address)
[child1:4740] [207] ioctl(fd=259, cmd=0x400c092e, arg=0xb695e000) = -1 (Not a typewriter)
[child1:4740] [208] ioctl(fd=259, cmd=0x40080906, arg=0xb5d5e000) = 0
[child1:4740] [209] ioctl(fd=259, cmd=0x40040921, arg=0xb595e000) = -1 (Invalid argument)
[child1:4740] [210] ioctl(fd=259, cmd=0xc010093b, arg=0xb6e62000) = -1 (Invalid argument)
[child1:4740] [211] ioctl(fd=259, cmd=0x40040921, arg=0xb6e60000) = -1 (Invalid argument)
[child1:4740] [212] ioctl(fd=259, cmd=0x400c0912, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [213] ioctl(fd=259, cmd=0xc018093a, arg=0x67de3fff) = -1 (Bad address)
[child1:4740] [214] ioctl(fd=259, cmd=0x40200931, arg=0xfffa2040) = -1 (Bad address)
[child1:4740] [215] ioctl(fd=259, cmd=0xc01c0934, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [216] ioctl(fd=259, cmd=0x40140931, arg=0xffffff68) = -1 (Bad address)
[child1:4740] [217] ioctl(fd=259, cmd=0x400c092e, arg=0xb6e5e000) = -1 (Not a typewriter)
[child1:4740] [218] ioctl(fd=259, cmd=0x40000000, arg=0x8000f7ff) = -1 (Not a typewriter)
[child1:4740] [219] ioctl(fd=259, cmd=0xc0140933, arg=0xffffff00) = -1 (Bad address)
[child1:4740] [220] ioctl(fd=259, cmd=0xc018093a, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [221] ioctl(fd=259, cmd=0xc00c0923, arg=0x8000) = -1 (Not a typewriter)
[child1:4740] [222] ioctl(fd=259, cmd=0xc00c0923, arg=0xb455e000) = -1 (Not a typewriter)
[child1:4740] [223] ioctl(fd=259, cmd=0xc0140938, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [224] ioctl(fd=259, cmd=0x800c0912, arg=0xf59f793c) = -1 (Bad address)
[child1:4740] [225] ioctl(fd=259, cmd=0x40100917, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [226] ioctl(fd=259, cmd=0x40200931, arg=0x7fffff1a) = -1 (Bad address)
[child1:4740] [227] ioctl(fd=259, cmd=0xc010093b, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [228] ioctl(fd=259, cmd=0x80044d01, arg=0xb6e60000) = -1 (Not a typewriter)
[child1:4740] [229] ioctl(fd=259, cmd=0x40100930, arg=0xb655e000) = -1 (Invalid argument)
[child1:4740] [230] ioctl(fd=259, cmd=0xc0080913, arg=0xbfd65000) = -1 (Bad address)
[child1:4740] [231] ioctl(fd=259, cmd=0xc0140910, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [232] ioctl(fd=259, cmd=0xc00c0916, arg=0xb6b5e000) = -1 (Invalid argument)
[child1:4740] [233] ioctl(fd=259, cmd=0xc00c0916, arg=0xb6c5e000) = -1 (Invalid argument)
[child1:4740] [234] ioctl(fd=259, cmd=0x40100939, arg=0xb6b5e000) = -1 (Invalid argument)
[child1:4740] [235] ioctl(fd=259, cmd=0x40040921, arg=0xb455e000) = -1 (Invalid argument)
[child1:4740] [236] ioctl(fd=259, cmd=0x40140937, arg=0xb6e60000) = -1 (Invalid argument)
[child1:4740] [237] ioctl(fd=259, cmd=0xc018093a, arg=0xb6e5e000) = 0
[child1:4740] [238] ioctl(fd=259, cmd=0xc0080935, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [239] ioctl(fd=259, cmd=0x40040914, arg=0x69696969) = -1 (Bad address)
[child1:4740] [240] ioctl(fd=259, cmd=0xc0280936, arg=0xffff2082) = -1 (Bad address)
[child1:4740] [241] ioctl(fd=259, cmd=0x400c0907, arg=0xffffc3c3) = -1 (Bad address)
[child1:4740] [242] ioctl(fd=259, cmd=0x400c092e, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [243] ioctl(fd=259, cmd=0x40080906, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [244] ioctl(fd=259, cmd=0x40200931, arg=0xb6e5e000) = 0
[child1:4740] [245] ioctl(fd=259, cmd=0xc0280936, arg=0xb615e000) = -1 (Invalid argument)
[child1:4740] [246] ioctl(fd=259, cmd=0xc0100920, arg=0x800000e0) = -1 (Bad address)
[child1:4740] [247] ioctl(fd=259, cmd=0x40100917, arg=0xb6b5e000) = -1 (Invalid argument)
[child1:4740] [248] ioctl(fd=259, cmd=0xc00c0923, arg=0xb800009c) = -1 (Bad address)
[child1:4740] [249] ioctl(fd=259, cmd=0x80080911, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [250] ioctl(fd=259, cmd=0xc0080935, arg=0xb455e000) = -1 (Invalid argument)
[child1:4740] [251] ioctl(fd=259, cmd=0x40040924, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [252] ioctl(fd=259, cmd=0xc010093b, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [253] ioctl(fd=259, cmd=0x40100917, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [254] ioctl(fd=259, cmd=0x40140931, arg=0xffff5187) = -1 (Bad address)
[child1:4740] [255] ioctl(fd=259, cmd=1968, arg=0xb455e000) = -1 (Not a typewriter)
[child1:4740] [256] ioctl(fd=259, cmd=0xc01c0934, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [257] ioctl(fd=259, cmd=0x800c0912, arg=0xbf) = -1 (Bad address)
[child1:4740] [258] ioctl(fd=259, cmd=0x800c0912, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [259] ioctl(fd=259, cmd=0x400c0912, arg=0xb6e60000) = -1 (Invalid argument)
[child1:4740] [260] ioctl(fd=259, cmd=0x40080906, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [261] ioctl(fd=259, cmd=0xc00c0916, arg=0xc0008000) = -1 (Bad address)
[child1:4740] [262] ioctl(fd=259, cmd=0x40200931, arg=0xc4000001) = -1 (Bad address)
[child1:4740] [263] ioctl(fd=259, cmd=0x403c0922, arg=0xaf210fff) = -1 (Bad address)
[child1:4740] [264] ioctl(fd=259, cmd=0x400c0907, arg=0xb6e60000) = -1 (Invalid argument)
